Img,Image_Set,Memorability_Score,Num_Ratings,Mean_Valence,Mean_Arousal
003b4444e624e41a4553d652cdc5a983.jpg,Places,0.69324489,40,3,4.675
01dda5672da86989cbe428226392efd5.jpg,Places,0.63651349,42,7.30952381,5.904761905
01e25ec2b653507e0fac4ae6730c3706.jpg,Places,0.672271235,40,7,5.65
01e9ff90b87d78f52de8f4cee0fd28e1.jpg,Places,0.617999511,43,7,4.953488372
01eaa9d3e93ad66b6182e77489aa56ea.jpg,Places,0.615415822,40,6.425,5.15
01f870e557961e3faef0856f12309fa4.jpg,Places,0.658424908,42,3.238095238,4.80952381
02a108b4bc4d6ca41a136435224928d2.jpg,Places,0.677039529,40,5.475,4.15
02b3272e1d1feafc656aa04b82e9ffa5.jpg,Places,0.553466872,45,6.755555556,4.955555556
02b795f5cb873198bbcdcba8e3e11cca.jpg,Places,0.756478054,40,3.55,3.8
02c05e69286823f10f4ab01f26fc6812.jpg,Places,0.712837838,40,6.375,4.975
02c5e03a399d585427e32b454d57de71.jpg,Places,0.616620879,51,4.843137255,3.352941176
02ec8ea5e3554dfb0f838780cc287758.jpg,Places,0.492097701,40,4.525,4.2
03b8acc17e9fa12795ac1bdce10e01fe.jpg,Places,0.774684994,51,3.196078431,3.666666667
04010bc443e63d3299791526581d1c6a.jpg,Places,0.706976744,49,5.244897959,3.93877551
04c7e1e045d2a464c7660a5a1dc6b521.jpg,Places,0.758693361,40,1.9,6.8
04d47b8184a2bdde9179efa50640e7d3.jpg,Places,0.548571429,40,5.7,3.85
04de1856fcea231f42ad01035f9b1c56.jpg,Places,0.834257206,40,5.525,4.325
05959e48f7447bcd3f67d4807a6b7b4e.jpg,Places,0.689509676,49,5.020408163,4.265306122
05d8821c014d8c5811839b8245fef778.jpg,Places,0.772880683,40,3.3,5.175
05e0ccb29e66f0205468594900a6183c.jpg,Places,0.57290562,40,6.025,4.45
05f053f20441224f9bde4fb2cebde1ea.jpg,Places,0.657790143,40,6.45,4.975
05f5f831733b4fcffaac3613124a4ef9.jpg,Places,0.605809859,43,6,5.069767442
06a9ade692b9894b771ba657cade7770.jpg,Places,0.605352304,45,3.666666667,3.044444444
06d26db007c559279f26819efcdd8c97.jpg,Places,0.7125,51,4.588235294,3.31372549
06d33ac733c970cbc37f9d1a6c38116d.jpg,Places,0.776209677,45,4.8,4.666666667
072df3db3bb17ed49dac836642611d58.jpg,Places,0.533682937,49,4.857142857,3.816326531
